CustomerID,TotalPurchaseYTD,MaritalStatus,YearlyIncome,Gender,Education,Ocupation,HomeOwnerFlag,NumberCarsOwned,CommuteDistance,Age,YearsCustomer
11377,-16.01,M,25001-50000,M,Graduate Degree,Clerical,TRUE,0,0-1 Miles,61,19
11913,-4,M,50001-75000,F,Bachelors,Professional,TRUE,1,5-10 Miles,57,18
11952,4730.04,S,75001-100000,M,Partial College,Skilled Manual,FALSE,2,1-2 Miles,68,20
20164,2435.4018,M,25001-50000,M,Bachelors,Clerical,TRUE,0,0-1 Miles,79,21
20211,1647,M,50001-75000,M,Bachelors,Professional,TRUE,1,2-5 Miles,54,20
20562,-699.0964,M,greater than 100000,F,Partial College,Professional,TRUE,3,5-10 Miles,67,21
20668,1651,S,50001-75000,F,Bachelors,Skilled Manual,FALSE,1,0-1 Miles,54,19
20813,15.49,M,0-25000,M,Partial College,Manual,TRUE,1,2-5 Miles,43,18
21190,37.7,S,50001-75000,M,Bachelors,Professional,FALSE,1,5-10 Miles,59,19
21279,-4.99,M,0-25000,F,Partial High School,Clerical,TRUE,2,5-10 Miles,75,19
21286,-39.01,S,75001-100000,M,Partial College,Professional,TRUE,2,5-10 Miles,59,18
21403,0,S,50001-75000,M,High School,Professional,FALSE,2,1-2 Miles,65,20
21867,4,M,75001-100000,M,Partial High School,Skilled Manual,TRUE,2,10+ Miles,75,18
21945,-2443.35,S,75001-100000,F,Graduate Degree,Management,TRUE,0,0-1 Miles,54,20
22552,-21.49,S,0-25000,F,Graduate Degree,Clerical,FALSE,0,0-1 Miles,60,19
22706,-41.01,S,25001-50000,F,Partial College,Clerical,TRUE,1,2-5 Miles,46,18
23079,2.7,S,25001-50000,F,Partial College,Clerical,FALSE,2,5-10 Miles,75,19
23605,2274.98,M,greater than 100000,M,Partial College,Professional,TRUE,3,0-1 Miles,67,18
23746,-539.99,S,0-25000,F,Partial High School,Manual,FALSE,2,0-1 Miles,42,18
24075,-1.01,M,0-25000,F,Partial High School,Manual,TRUE,2,0-1 Miles,57,18
11964,4679.05,S,50001-75000,M,High School,Skilled Manual,FALSE,2,1-2 Miles,67,20
12669,2342.0318,S,50001-75000,M,Bachelors,Professional,FALSE,3,10+ Miles,46,20
12741,-30,S,25001-50000,M,High School,Manual,TRUE,1,2-5 Miles,51,19
12873,3499.8504,S,0-25000,F,Partial High School,Manual,FALSE,2,0-1 Miles,48,19
12903,2327.7,S,25001-50000,F,Bachelors,Skilled Manual,TRUE,0,2-5 Miles,53,19
13020,-539.9882,M,0-25000,M,Partial High School,Clerical,TRUE,2,5-10 Miles,77,20
13228,-13.01,M,50001-75000,M,Bachelors,Management,TRUE,3,10+ Miles,75,19
13512,-69.99,M,0-25000,F,Partial College,Manual,TRUE,1,2-5 Miles,81,19
13566,-4,S,0-25000,F,High School,Manual,TRUE,2,0-1 Miles,71,19
14016,26.59,M,25001-50000,M,High School,Skilled Manual,FALSE,2,1-2 Miles,72,19
14063,1463.4208,S,50001-75000,F,Bachelors,Professional,FALSE,1,0-1 Miles,58,20
14207,4678.06,M,greater than 100000,M,Partial High School,Professional,TRUE,3,10+ Miles,75,20
14689,-4.99,S,0-25000,F,Partial High School,Manual,FALSE,2,0-1 Miles,42,18
14847,3042.33,S,0-25000,F,Partial High School,Manual,FALSE,2,1-2 Miles,48,21
14974,98.98,S,25001-50000,M,Partial College,Clerical,TRUE,2,0-1 Miles,43,19
15096,-69.99,M,75001-100000,M,Bachelors,Management,TRUE,2,10+ Miles,77,18
15622,-1868.37,S,25001-50000,M,High School,Manual,FALSE,1,1-2 Miles,50,20
15789,2196.9718,S,greater than 100000,F,Graduate Degree,Management,FALSE,2,0-1 Miles,56,19
15807,27.6,S,50001-75000,M,Partial College,Skilled Manual,TRUE,3,10+ Miles,61,19
15811,64.29,M,50001-75000,M,Partial College,Skilled Manual,TRUE,3,5-10 Miles,62,19
16130,-8.02,S,25001-50000,F,Bachelors,Professional,FALSE,1,2-5 Miles,62,18
16603,2593.445,M,greater than 100000,F,Partial High School,Professional,TRUE,3,10+ Miles,75,20
16621,6.37,M,75001-100000,F,High School,Management,FALSE,2,10+ Miles,49,18
16737,-4.99,S,25001-50000,F,High School,Skilled Manual,TRUE,2,5-10 Miles,43,18
16936,-6.01,M,0-25000,F,Graduate Degree,Clerical,TRUE,0,0-1 Miles,86,19
17166,-4.99,M,50001-75000,M,High School,Professional,TRUE,2,2-5 Miles,71,18
17326,649.49,S,50001-75000,F,Bachelors,Professional,TRUE,1,5-10 Miles,59,21
24257,-1627.595,M,0-25000,M,Partial High School,Clerical,FALSE,2,1-2 Miles,75,19
24535,-3.99,M,greater than 100000,F,Partial College,Professional,TRUE,3,5-10 Miles,65,19
24541,32.69,M,greater than 100000,M,Partial College,Professional,TRUE,4,0-1 Miles,67,18
24561,-3.99,S,75001-100000,M,High School,Professional,FALSE,3,2-5 Miles,68,19
24598,1674.98,S,75001-100000,M,High School,Management,TRUE,2,10+ Miles,48,19
24705,1085.5,S,25001-50000,F,High School,Manual,TRUE,1,2-5 Miles,50,18
24869,-30,M,greater than 100000,M,High School,Professional,FALSE,3,10+ Miles,71,18
25139,-9.51,M,50001-75000,M,Bachelors,Professional,FALSE,2,0-1 Miles,58,18
25761,544.98,S,25001-50000,F,Bachelors,Clerical,TRUE,0,1-2 Miles,54,19
25946,421.3936,M,25001-50000,F,Partial College,Skilled Manual,TRUE,2,5-10 Miles,69,20
26292,2389.0618,M,50001-75000,F,Graduate Degree,Skilled Manual,TRUE,0,0-1 Miles,51,20
26717,-2071.4192,M,25001-50000,M,Partial College,Professional,TRUE,2,5-10 Miles,87,20
26869,543.99,M,25001-50000,M,Bachelors,Skilled Manual,TRUE,0,0-1 Miles,59,19
26952,733.36,M,25001-50000,F,Bachelors,Clerical,TRUE,0,0-1 Miles,53,19
27040,2.7,M,0-25000,M,Partial High School,Clerical,TRUE,2,1-2 Miles,65,19
27505,-17.5,S,25001-50000,F,High School,Skilled Manual,TRUE,2,5-10 Miles,47,18
27858,-24.51,S,0-25000,F,Partial College,Manual,FALSE,1,2-5 Miles,80,19
27928,-1120.49,S,greater than 100000,F,High School,Professional,FALSE,2,5-10 Miles,66,18
27934,-4.99,M,50001-75000,F,High School,Professional,FALSE,2,2-5 Miles,78,18
27948,2447.35,M,greater than 100000,M,Bachelors,Management,TRUE,2,10+ Miles,69,19
27972,52.03,M,75001-100000,M,Bachelors,Professional,TRUE,3,10+ Miles,49,18
28437,563.18,S,25001-50000,F,Partial College,Clerical,TRUE,1,2-5 Miles,46,18
28560,-2071.4192,S,25001-50000,F,High School,Manual,TRUE,1,2-5 Miles,50,20
28584,-3578.27,M,25001-50000,F,High School,Clerical,TRUE,1,2-5 Miles,68,21
28678,743.39,S,75001-100000,M,Bachelors,Skilled Manual,FALSE,1,0-1 Miles,56,21
28875,-30,S,greater than 100000,M,Partial College,Professional,TRUE,3,5-10 Miles,65,18
29283,-53.99,M,25001-50000,M,High School,Professional,FALSE,2,1-2 Miles,73,19
29407,2344.06,M,0-25000,F,High School,Manual,TRUE,1,0-1 Miles,46,19
17641,1666.0025,S,0-25000,M,Partial High School,Manual,FALSE,2,1-2 Miles,51,20
17708,-28.53,M,0-25000,M,Graduate Degree,Clerical,TRUE,0,0-1 Miles,61,18
17900,1651.0025,S,0-25000,F,Partial College,Manual,TRUE,1,1-2 Miles,80,19
18145,-28.01,M,75001-100000,M,Bachelors,Management,FALSE,2,2-5 Miles,78,19
18295,-98.02,M,75001-100000,F,Bachelors,Professional,TRUE,1,5-10 Miles,63,19
19068,-5.01,M,greater than 100000,F,Partial College,Professional,FALSE,3,10+ Miles,71,19
19073,2273.01,M,greater than 100000,M,High School,Management,FALSE,4,10+ Miles,73,19
19154,-69.99,M,50001-75000,F,Bachelors,Skilled Manual,TRUE,3,10+ Miles,59,18
19254,-1700.9875,S,0-25000,M,Bachelors,Clerical,TRUE,0,0-1 Miles,66,19
19303,-30,M,0-25000,M,High School,Manual,FALSE,2,0-1 Miles,71,18
19960,2414.84,M,75001-100000,M,High School,Management,TRUE,2,10+ Miles,50,20
17851,0.5,S,0-25000,M,Partial High School,Manual,TRUE,2,1-2 Miles,49,18
25660,1666,M,25001-50000,M,Bachelors,Skilled Manual,TRUE,1,0-1 Miles,60,18
21806,5,S,50001-75000,M,Partial College,Professional,TRUE,2,10+ Miles,72,18
24062,-28.99,M,0-25000,F,Partial High School,Manual,TRUE,0,0-1 Miles,56,19
12298,5840.5304,S,75001-100000,F,Partial College,Professional,FALSE,2,2-5 Miles,77,20
25311,1666,M,25001-50000,F,Bachelors,Skilled Manual,TRUE,1,1-2 Miles,50,18
26146,-69.99,M,75001-100000,F,Bachelors,Professional,TRUE,4,1-2 Miles,57,18
29449,-3399.99,S,25001-50000,F,Bachelors,Clerical,TRUE,0,0-1 Miles,81,21
20933,918,S,25001-50000,F,Partial College,Clerical,TRUE,3,0-1 Miles,44,20
19998,1085.5,S,25001-50000,F,High School,Skilled Manual,TRUE,3,10+ Miles,55,19
18185,1321.525,M,greater than 100000,F,Partial High School,Professional,FALSE,3,10+ Miles,75,20
20615,36.59,S,greater than 100000,F,Partial College,Management,TRUE,3,10+ Miles,49,20
21103,931.98,M,25001-50000,M,Bachelors,Skilled Manual,TRUE,0,0-1 Miles,59,19
11462,4701.77,M,greater than 100000,F,High School,Management,TRUE,4,10+ Miles,51,21
12683,2607.6408,S,greater than 100000,F,Partial High School,Professional,TRUE,4,10+ Miles,50,20
12867,-2294.9896,S,0-25000,F,Partial High School,Manual,TRUE,2,0-1 Miles,47,19
24589,50.99,S,50001-75000,F,Bachelors,Professional,FALSE,3,10+ Miles,47,19
27730,-3.99,S,25001-50000,F,Partial High School,Clerical,TRUE,2,5-10 Miles,44,19
16287,2352.6975,M,25001-50000,F,Bachelors,Professional,TRUE,0,0-1 Miles,56,20
28869,707.36,S,50001-75000,F,Partial College,Skilled Manual,TRUE,2,5-10 Miles,50,21
29439,19.2,M,0-25000,F,Graduate Degree,Clerical,TRUE,0,0-1 Miles,61,19
22029,12.99,M,25001-50000,F,Bachelors,Management,TRUE,2,5-10 Miles,83,18
14830,1149.76,M,25001-50000,F,Bachelors,Skilled Manual,TRUE,0,0-1 Miles,59,20
24503,1066.5,M,25001-50000,F,Bachelors,Management,TRUE,2,0-1 Miles,81,19
21552,-2181.565,M,75001-100000,M,Bachelors,Professional,FALSE,3,10+ Miles,47,20
18107,-4,M,50001-75000,F,Partial College,Professional,TRUE,2,10+ Miles,71,18
13488,-98.02,M,greater than 100000,F,Graduate Degree,Management,TRUE,3,2-5 Miles,84,19
24692,-31,M,0-25000,F,Partial High School,Manual,TRUE,2,1-2 Miles,42,18
25441,1.6,M,25001-50000,F,Bachelors,Skilled Manual,TRUE,1,2-5 Miles,57,19
16701,-2799.79,S,50001-75000,F,Bachelors,Professional,FALSE,2,0-1 Miles,59,21
29203,738.35,M,50001-75000,F,Partial College,Professional,TRUE,0,5-10 Miles,65,21
21113,19.2,S,25001-50000,F,Partial College,Clerical,TRUE,1,2-5 Miles,45,18
28080,-30,S,75001-100000,F,Partial College,Skilled Manual,FALSE,2,1-2 Miles,54,19
17205,-30,S,greater than 100000,F,Graduate Degree,Management,FALSE,4,0-1 Miles,77,18
16820,3048.81,M,50001-75000,F,Partial College,Professional,TRUE,2,10+ Miles,71,19
28514,61,S,0-25000,F,High School,Manual,FALSE,0,0-1 Miles,53,19
11495,-4,S,25001-50000,M,Partial College,Clerical,TRUE,1,1-2 Miles,51,18
24600,-4.99,M,75001-100000,F,Bachelors,Professional,FALSE,3,10+ Miles,50,18
17584,-30,S,50001-75000,F,Bachelors,Skilled Manual,FALSE,1,0-1 Miles,54,18
24640,2349.08,S,25001-50000,F,Bachelors,Management,FALSE,2,1-2 Miles,81,19
14102,1450.8404,S,50001-75000,F,Graduate Degree,Management,TRUE,1,5-10 Miles,80,20
26158,45.5,M,50001-75000,F,Partial College,Skilled Manual,TRUE,1,5-10 Miles,65,19
17979,749.4775,M,25001-50000,F,Bachelors,Clerical,FALSE,0,0-1 Miles,54,19
13809,13.98,M,25001-50000,F,Bachelors,Skilled Manual,TRUE,0,0-1 Miles,59,19
27855,19.2,S,0-25000,F,Partial College,Manual,FALSE,0,0-1 Miles,81,18
